nohup: ignoring input
============================================================
<class 'transformers.tokenization_dna.DNATokenizer'>
Intercept 0.5552314737353299
Prediction_local [1.00610104]
Right: 0.9966999888420105
Intercept 0.515878351363025
Prediction_local [0.98465981]
Right: 0.989300012588501
Intercept 0.6732890756503209
Prediction_local [0.96447497]
Right: 0.9672999978065491
Intercept 0.6644482491222277
Prediction_local [0.97307103]
Right: 0.9765999913215637
Intercept 0.45432899601239896
Prediction_local [0.68937481]
Right: 0.7059999704360962
Intercept 0.5441918605748035
Prediction_local [0.68556537]
Right: 0.727400004863739
Intercept 0.5540150864439799
Prediction_local [0.95873852]
Right: 0.9623000025749207
Intercept 0.7560159445048789
Prediction_local [0.78925315]
Right: 0.8349000215530396
Intercept 0.6735909175766187
Prediction_local [0.86575276]
Right: 0.9801999926567078
Intercept 0.428320753572996
Prediction_local [0.66828451]
Right: 0.9763000011444092
Intercept 0.6825842826379822
Prediction_local [0.83507001]
Right: 0.9185000061988831
Intercept 0.5586867141101642
Prediction_local [0.7602458]
Right: 0.8188999891281128
Intercept 0.4071976235283954
Prediction_local [0.92401871]
Right: 0.9819999933242798
Intercept 0.6608984599136923
Prediction_local [0.86512454]
Right: 0.8723000288009644
Intercept 0.346744539869646
Prediction_local [0.93043077]
Right: 0.9351000189781189
Intercept 0.6375468027889161
Prediction_local [0.83938814]
Right: 0.8447999954223633
Intercept 0.6831478548869679
Prediction_local [0.90954954]
Right: 0.9325000047683716
Intercept 0.4117788287510012
Prediction_local [0.82826791]
Right: 0.9519000053405762
Intercept 0.4589683382250245
Prediction_local [0.93923786]
Right: 0.9510999917984009
Intercept 0.5947963786202699
Prediction_local [0.84018876]
Right: 0.8590999841690063
Intercept 0.6830144588629623
Prediction_local [0.93477893]
Right: 0.9390000104904175
Intercept 0.5400274030995813
Prediction_local [0.96041495]
Right: 0.9563999772071838
Intercept 0.5968620786572303
Prediction_local [0.97876883]
Right: 0.9869999885559082
Intercept 0.6479410748875601
Prediction_local [0.75692326]
Right: 0.862500011920929
Intercept 0.8521151257459016
Prediction_local [0.54991162]
Right: 0.5340999960899353
Intercept 0.5594245144617495
Prediction_local [0.92154452]
Right: 0.9290000200271606
Intercept 0.3238825979776683
Prediction_local [0.95971906]
Right: 0.9878000020980835
Intercept 0.322506408041972
Prediction_local [0.9529656]
Right: 0.9836999773979187
Intercept 0.6579249953487989
Prediction_local [0.74357327]
Right: 0.993399977684021
Intercept 0.5118801969118674
Prediction_local [0.72048334]
Right: 0.9075999855995178
Intercept 0.443023972947438
Prediction_local [0.91863689]
Right: 0.9768999814987183
Intercept 0.6301081256297478
Prediction_local [0.58140996]
Right: 0.923799991607666
Intercept 0.49786044023106896
Prediction_local [0.86081697]
Right: 0.9753999710083008
Intercept 0.466839290461337
Prediction_local [0.77524034]
Right: 0.8611000180244446
Intercept 0.4804254989262782
Prediction_local [0.7790577]
Right: 0.8661999702453613
Intercept 0.5256839184234097
Prediction_local [0.95278543]
Right: 0.9713000059127808
Intercept 0.4901117772671027
Prediction_local [0.83094614]
Right: 0.9271000027656555
Intercept 0.5935020119383196
Prediction_local [0.90671765]
Right: 0.9904000163078308
Intercept 0.4929437088819288
Prediction_local [0.54144821]
Right: 0.9016000032424927
Traceback (most recent call last):
  File "/data01/gbini/projects/DETR/src/xai_lime.py", line 194, in <module>
    main(args)
  File "/data01/gbini/projects/DETR/src/xai_lime.py", line 151, in main
    x1hat, y1hat, what, hhat = estimate_bbox(expl_matrix_tr, desired_dim = 45)
  File "/data01/gbini/projects/DETR/src/../util/xai.py", line 317, in estimate_bbox
    output = F.conv2d(A, M, stride = stride).squeeze()
RuntimeError: Calculated padded input size per channel: (200 x 39). Kernel size: (64 x 83). Kernel size can't be greater than actual input size
